Date,AAPL,MSFT,TSLA,TWTR,AMZN,IBM,AMD
2000-01-03,3.4784622192382812,37.49568557739258,,,89.375,76.4112319946289,15.5
2000-01-04,3.1851909160614014,36.22905731201172,,,81.9375,73.81753540039062,14.625
2000-01-05,3.2318031787872314,36.611080169677734,,,69.75,76.4112319946289,15.0
2000-01-06,2.9521284103393555,35.384666442871094,,,65.5625,75.09384155273438,16.0
2000-01-07,3.091965913772583,35.847076416015625,,,69.5625,74.76443481445312,16.25
2000-01-10,3.0375845432281494,36.10844802856445,,,69.1875,77.72866821289062,17.5
2000-01-11,2.882209062576294,35.183616638183594,,,66.75,78.38740539550781,17.25
2000-01-12,2.7093539237976074,34.03763961791992,,,63.5625,78.71674346923828,18.125
2000-01-13,3.006509780883789,34.680992126464844,,,65.9375,77.89337921142578,18.875
2000-01-14,3.121098756790161,36.10844802856445,,,64.25,78.79908752441406,20.1875
2000-01-18,3.229860544204712,37.09358215332031,,,64.125,76.24657440185547,19.5
2000-01-19,3.3114330768585205,34.41962432861328,,,66.8125,78.71674346923828,19.59375
2000-01-20,3.5270161628723145,34.09794235229492,,,64.75,78.38740539550781,19.5
2000-01-21,3.4590389728546143,33.374176025390625,,,62.0625,80.03421020507812,18.9375
2000-01-24,3.3017220497131348,32.569976806640625,,,70.125,80.03421020507812,17.25
2000-01-25,3.4881722927093506,33.072601318359375,,,69.25,78.46973419189453,20.0
2000-01-26,3.4240806102752686,31.966842651367188,,,64.8125,76.90531158447266,18.5
2000-01-27,3.4182538986206055,31.765783309936523,,,66.9375,74.76443481445312,18.46875
2000-01-28,3.1580002307891846,31.60494041442871,,,61.6875,73.48817443847656,17.625
2000-01-31,3.2240347862243652,31.484304428100586,,,64.5625,73.9410171508789,18.0
2000-02-01,3.11527156829834,33.11281204223633,,,67.4375,72.45893859863281,18.28125
2000-02-02,3.0706021785736084,32.42924499511719,,,69.4375,74.76443481445312,18.03125
2000-02-03,3.210439682006836,33.33395767211914,,,84.1875,77.15229797363281,19.5
2000-02-04,3.3561038970947266,34.278892517089844,,,78.5625,76.16423034667969,19.28125
2000-02-07,3.5444958209991455,34.29899215698242,,,75.0,75.17617797851562,20.65625
2000-02-08,3.5697450637817383,35.364566802978516,,,83.125,78.34626007080078,20.6875
2000-02-09,3.4998252391815186,33.45458984375,,,80.25,77.39839172363281,21.03125
2000-02-10,3.5270161628723145,34.09794235229492,,,76.1875,78.55236053466797,21.25
2000-02-11,3.3794100284576416,32.147769927978516,,,76.1875,76.07952880859375,22.75
2000-02-14,3.5988776683807373,32.04724884033203,,,74.4375,76.53289794921875,21.625
2000-02-15,3.6979289054870605,31.705467224121094,,,73.8125,77.2334976196289,21.75
2000-02-16,3.5464389324188232,31.403884887695312,,,70.6875,76.32682037353516,21.875
2000-02-17,3.5697450637817383,32.04724884033203,,,69.0,76.98625946044922,21.5
2000-02-18,3.4570980072021484,30.579599380493164,,,64.75,74.18375396728516,21.5
2000-02-22,3.5367274284362793,30.177486419677734,,,63.5625,73.19462585449219,20.90625
2000-02-23,3.6124725341796875,30.318222045898438,,,70.4375,71.71092224121094,20.53125
2000-02-24,3.579941749572754,30.47905921936035,,,68.4375,72.86489868164062,21.28125
2000-02-25,3.4299073219299316,29.373289108276367,,,69.125,71.21639251708984,20.25
2000-02-28,3.51924729347229,29.453725814819336,,,65.75,68.908447265625,18.875
2000-02-29,3.5619757175445557,28.750028610229492,,,68.875,67.75447845458984,19.75
2000-03-01,4.049465656280518,29.212448120117188,,,65.875,66.10594177246094,20.25
2000-03-02,3.791154623031616,30.0367488861084,,,62.5625,68.00177001953125,19.625
2000-03-03,3.9776039123535156,30.9213924407959,,,62.5,71.21639251708984,20.75
2000-03-06,3.905742645263672,29.152141571044922,,,63.9375,67.96053314208984,23.75
2000-03-07,3.818344831466675,29.87591552734375,,,63.5,67.9193344116211,27.5
2000-03-08,3.791154623031616,30.74042320251465,,,63.625,70.06239318847656,26.75
2000-03-09,3.7989227771759033,32.16787338256836,,,68.8125,71.21639251708984,29.0625
2000-03-10,3.907684803009033,32.48955535888672,,,66.875,69.40300750732422,26.0
2000-03-13,3.769789457321167,31.524520874023438,,,65.3125,71.01033782958984,25.75
2000-03-14,3.550323009490967,30.599706649780273,,,65.625,71.6285171508789,24.0
2000-03-15,3.6124725341796875,30.680116653442383,,,63.75,70.55699157714844,24.625
2000-03-16,3.7775588035583496,30.680116653442383,,,66.25,71.87580871582031,24.59375
2000-03-17,3.8843791484832764,31.966842651367188,,,64.8125,72.53520965576172,25.0
2000-03-20,3.8222298622131348,31.323471069335938,,,64.1875,74.34855651855469,26.875
2000-03-21,4.1931867599487305,33.052494049072266,,,72.375,74.8431625366211,27.40625
2000-03-22,4.480630874633789,33.21332931518555,,,70.6875,75.33771514892578,28.75
2000-03-23,4.391289710998535,35.9878044128418,,,67.6875,75.99710083007812,27.6875
2000-03-24,4.309718132019043,35.92749786376953,,,72.6875,79.54145812988281,27.0
2000-03-27,4.33690881729126,33.47470474243164,,,73.125,83.66278839111328,27.09375
2000-03-28,4.3233137130737305,33.555118560791016,,,70.125,80.77783203125,27.5625
2000-03-29,4.224262237548828,34.47993850708008,,,66.25,78.46992492675781,27.375
2000-03-30,3.907684803009033,33.25355529785156,,,66.5,80.94268798828125,30.0
2000-03-31,4.220376491546631,34.17837142944336,,,67.0,78.05776977539062,29.5
2000-04-03,4.1426897048950195,29.232547760009766,,,63.5625,80.4481201171875,30.4375
2000-04-04,3.9562392234802246,28.488677978515625,,,63.9375,79.91239166259766,30.5625
